timestamp,x,y
4.952191,508,465
5.017132,514,457
5.082055,522,475
5.149481,528,457
5.214871,542,463
5.280871,526,462
5.348644,528,458
5.414308,523,460
5.478966,539,456
5.544588,546,456
5.610240,539,457
5.677342,539,452
5.744132,542,457
5.810793,542,449
5.877003,521,455
5.942323,507,447
6.007943,512,468
6.075038,502,460
6.141260,522,447
6.206491,523,448
6.271935,521,442
6.338418,521,457
6.406483,525,458
6.469592,525,456
6.536463,512,470
6.603087,527,476
6.669128,524,477
6.735045,518,475
6.803108,515,499
6.865489,515,524
6.932696,519,558
7.030260,512,581
7.096927,510,606
7.162149,507,609
7.228893,502,622
7.294005,506,626
7.361064,505,647
7.424631,506,660
7.492126,527,663
7.558462,537,662
7.624717,534,670
7.691026,531,682
7.755383,517,694
7.823122,521,694
7.889125,525,703
7.954996,525,708
8.020606,526,714
8.087121,536,725
8.153031,529,723
8.218907,530,727
8.285048,543,724
8.351043,537,729
8.417001,554,730
8.483195,555,713
8.546972,558,735
8.615207,560,727
8.681564,547,719
8.747610,555,720
8.813505,548,717
8.879717,539,700
8.945470,534,708
9.011653,517,697
9.077863,513,703
9.143417,501,700
9.208992,514,702
9.275662,517,685
9.341767,517,677
9.407601,497,675
9.473465,495,666
9.539841,498,652
9.605675,478,651
9.671789,477,661
9.737788,489,659
9.804092,505,664
9.869910,494,673
9.935419,510,683
10.000286,521,675
10.068115,537,678
10.133792,530,680
10.199811,537,675
10.297759,523,677
10.363340,529,682
10.429433,539,675
10.495601,526,678
10.561436,546,671
10.627629,533,673
10.693837,529,673
10.759623,521,667
10.825838,524,676
10.891645,522,689
10.957741,522,688
11.023550,523,684
11.090177,519,687
11.155964,528,699
11.222306,517,703
11.287854,508,705
11.353967,527,699
11.420546,531,703
11.486258,542,710
11.551986,553,708
11.618190,539,710
11.684397,541,713
11.750539,537,717
11.816402,528,723
11.882692,551,765
11.948487,549,812
12.014840,571,848
12.080201,570,880
12.146953,589,899
12.212334,582,899
12.279046,551,905
12.344998,552,931
12.410944,543,954
12.476329,562,980
12.543552,572,981
12.606571,563,1000
12.674965,565,1009
12.740364,554,1024
12.806732,559,1035
12.873000,563,1036
12.938797,561,1032
13.004825,582,1040
13.070819,579,1028
13.137397,574,1022
13.203267,562,1016
13.268805,569,1008
13.334847,546,999
13.401330,554,996
13.467443,562,1015
13.533022,568,1041
13.630929,611,1041
13.697006,610,1047
13.761879,634,1042
13.828937,628,1038
13.895082,613,1039
13.961304,601,1011
14.026001,590,1014
14.092658,572,1009
14.158844,570,1005
14.224887,540,1003
14.291304,531,978
14.356993,538,968
14.422929,547,961
14.489374,544,957
14.554943,552,955
14.619454,557,944
14.687487,541,932
14.753842,532,933
14.818904,525,943
14.885052,541,940
14.950314,535,945
15.016226,541,937
15.083131,552,951
15.149873,548,963
15.215623,555,975
15.281838,572,991
15.347706,568,1015
15.413869,568,1018
15.479693,578,1014
15.545408,573,1011
15.610027,577,1013
15.676168,574,1001
15.743764,595,1000
15.809566,588,1068
15.875866,586,1140
15.942233,588,1215
16.007805,576,1311
16.074002,581,1398
16.140117,596,1460
16.203911,589,1516
16.271741,585,1578
16.337936,577,1621
16.404421,572,1632
16.470352,571,1633
16.536346,573,1629
16.601889,561,1622
16.667777,579,1602
16.734036,599,1587
16.800421,595,1573
16.866020,600,1562
16.963308,609,1542
17.030402,599,1531
17.096080,588,1527
17.161917,599,1518
17.227470,605,1501
17.293871,606,1484
