timestamp,x,y
0.021750,1366,722
0.089035,1366,722
0.154971,1364,721
0.219877,1360,721
0.286984,1350,724
0.353353,1318,726
0.419635,1257,709
0.620285,1184,671
0.686809,1073,621
0.753108,978,545
0.820045,884,470
0.887183,812,408
0.953916,758,375
1.019842,711,335
1.086710,678,293
1.154041,658,262
1.222112,657,245
1.288642,644,238
1.355598,644,241
1.421819,651,247
1.488485,657,252
1.555555,683,182
1.622327,687,136
1.687290,716,74
1.755762,728,38
1.822099,743,29
1.888121,739,23
1.954842,747,8
2.021541,764,-7
2.088240,799,-19
2.154951,824,-18
2.222128,831,-5
2.287977,818,12
2.355602,823,23
2.421326,810,32
2.487916,802,39
2.555092,784,51
2.621744,826,52
2.687656,857,43
2.753343,870,36
2.821308,871,35
2.887966,877,32
2.955054,870,38
3.021348,854,55
3.087496,842,65
3.154469,833,64
3.219907,830,56
3.288330,816,55
3.354794,814,59
3.421186,806,58
3.487930,803,67
3.554681,813,67
3.621226,809,65
3.687307,827,69
3.754288,838,64
3.821160,867,93
3.887836,891,110
3.954115,913,126
4.020670,926,142
4.088567,939,160
4.154507,956,159
4.220562,949,166
4.287117,946,177
4.353787,932,180
4.419868,931,183
4.486741,927,188
4.554035,917,195
4.620585,899,198
4.686468,876,198
4.753805,870,206
4.820691,864,200
4.887611,872,203
4.953667,852,198
5.019753,831,206
5.085315,832,199
5.154179,848,195
5.220583,855,194
5.286908,841,186
5.353503,832,183
5.419675,812,186
5.486337,817,188
5.553375,810,189
5.619742,811,193
5.685859,814,196
5.752974,813,224
5.819774,813,246
5.886946,808,266
5.952074,775,306
6.020216,754,353
6.085115,768,374
6.153149,779,384
6.219609,777,360
6.286052,793,339
6.353260,798,335
6.419312,808,329
6.485951,782,352
6.552899,777,362
6.619443,782,350
6.685297,776,363
6.753010,756,383
6.819485,726,383
6.885562,694,381
6.952798,691,398
7.019043,698,412
7.085478,711,420
7.152665,732,430
7.219616,744,432
7.285905,741,429
7.352505,734,439
7.418523,728,445
7.485441,729,432
7.552790,742,421
7.619122,758,416
7.685641,781,420
7.752553,806,447
7.818574,826,456
7.885565,847,470
7.951669,843,499
8.018678,857,514
8.085474,885,505
8.151766,880,505
8.218539,856,514
8.285136,845,524
8.351528,839,528
8.418288,845,523
8.484794,853,526
8.551517,845,533
8.618326,852,527
8.684508,854,525
8.751272,861,507
8.818829,858,512
8.885192,844,524
8.950929,848,519
9.018086,843,519
9.083575,854,520
9.151009,863,510
9.217759,878,507
9.284492,908,483
9.351597,906,492
9.417425,920,478
9.484120,907,467
9.552046,924,487
9.617630,937,503
9.683889,949,520
9.750755,950,542
9.818134,959,557
9.884581,947,573
9.951121,949,574
10.017990,935,579
10.084709,934,587
10.151459,939,597
10.217462,931,619
10.284084,912,632
10.351542,886,649
10.416745,872,656
10.483728,876,675
10.550731,881,670
10.617024,895,661
10.684041,905,657
10.750896,908,648
10.816856,911,637
10.884462,915,626
10.950909,913,621
11.017324,918,616
11.082729,937,605
11.151403,943,605
11.217708,945,611
11.283730,945,611
11.349912,939,613
11.416799,936,609
11.484288,941,605
11.550553,929,601
11.616494,929,592
11.683910,928,592
11.750146,934,593
11.817483,943,604
11.883357,942,655
11.951099,962,678
12.016950,979,701
12.081733,972,709
12.151228,977,707
12.216930,968,714
12.282931,973,713
12.351172,992,709
12.416208,997,712
12.483926,990,724
12.550197,1001,721
12.616510,996,715
12.684429,993,699
12.883985,1000,684
12.949075,927,721
13.017347,907,730
13.082806,895,728
13.150304,906,718
13.215907,929,699
13.282164,945,681
13.350233,955,673
13.415506,955,667
13.483582,963,666
13.549255,980,659
13.617336,909,550
13.682266,901,388
13.750442,904,266
13.815715,926,155
13.883623,949,88
13.949733,965,20
14.016869,965,-51
14.082522,968,-105
14.150354,961,-141
14.215619,957,-142
14.283523,937,-130
14.349009,924,-54
14.416794,921,-7
14.481824,922,44
14.549443,918,78
14.615484,905,129
14.682548,882,171
14.750167,863,199
14.816343,866,232
14.882588,859,249
14.949482,860,265
15.016414,863,284
15.083027,864,295
15.148016,876,283
15.216925,888,291
15.281340,909,276
15.349473,913,249
15.415965,924,239
15.482612,954,205
15.549521,971,181
15.616333,975,161
15.682388,978,172
15.749196,975,168
15.815482,968,168
15.882615,973,159
15.949319,972,163
16.015835,981,167
16.082700,987,164
16.149338,966,171
16.215563,950,167
16.415631,976,156
16.482743,933,191
16.547016,896,209
16.616213,891,208
16.680668,872,209
16.749637,867,208
16.815269,855,211
16.881754,829,220
16.949308,815,223
17.015674,810,226
17.082624,874,290
17.146492,947,392
17.215559,1006,474
17.280557,1039,546
17.348307,1050,598
17.414982,1066,635
17.481579,1083,664
17.549051,1085,677
17.615702,1075,684
17.682456,1084,678
17.748558,1091,669
17.814635,1099,638
17.881691,1087,623
17.947846,1059,613
18.014796,1059,590
18.082056,1056,580
18.145754,1034,591
18.213092,1024,595
18.279593,1005,590
18.346498,998,581
18.412851,987,578
18.479544,988,585
18.548149,981,591
18.614760,985,596
18.681641,971,612
18.748281,965,619
18.814699,996,598
18.881734,978,603
18.947511,980,604
19.015235,967,608
19.079536,998,787
19.146208,1060,978
19.412684,1089,1149
19.478911,858,1264
19.544824,570,1361
19.612382,347,1415
19.678033,186,1484
19.745773,-49,1656
19.812259,-210,1785
19.878878,-406,1950
19.945476,-551,2081
20.013678,-705,2161
20.081124,-770,2232
20.148012,-782,2272
