timestamp,x,y
0.033791,1281,754
0.129362,1281,754
0.194589,1280,754
0.260532,1280,752
0.325471,1280,752
0.392059,1278,754
0.457513,1277,754
0.524114,1274,744
0.590584,1243,712
0.656299,1213,668
0.722563,1168,622
0.788507,1097,577
0.854585,1032,525
0.920025,964,499
0.985923,899,471
1.054024,846,466
1.118162,802,454
1.183168,759,444
1.250882,726,423
1.316887,710,405
1.383058,705,386
1.448854,698,372
1.515391,694,362
1.581450,698,369
1.647054,708,370
1.713287,715,374
1.779361,723,354
1.844878,726,337
1.910566,735,334
1.976991,735,320
2.043265,748,327
2.108921,751,324
2.175639,767,326
2.241190,773,331
2.307402,784,325
2.373160,791,331
2.439438,797,329
2.505583,804,335
2.571317,806,336
2.638245,809,344
2.703621,819,353
2.769631,817,370
2.835936,818,382
2.901779,831,380
2.967661,836,379
3.033369,832,375
3.100040,827,366
3.165701,827,361
3.231655,850,422
3.297634,855,446
3.364006,863,471
3.429337,864,559
3.494579,870,622
3.561758,871,671
3.627856,880,693
3.693565,883,709
3.759197,892,726
3.825819,893,737
3.891888,883,663
3.957878,878,574
4.023389,878,510
4.089477,872,455
4.155974,866,397
4.221961,862,369
4.287779,863,353
4.352339,866,336
4.418624,867,329
4.485027,867,301
4.550310,878,307
4.616337,872,315
4.682679,866,324
4.748582,868,320
4.814715,865,336
4.880449,864,354
4.946719,863,364
5.013135,868,369
5.079153,863,380
5.145063,857,395
5.211261,865,402
5.277625,871,386
5.342774,866,369
5.408757,864,345
5.475235,866,305
5.541149,852,305
5.607363,696,508
5.672972,516,682
5.738768,373,820
5.805031,228,893
5.871607,124,935
5.937367,22,979
6.003444,-59,1041
6.069139,-123,1047
6.135452,-195,1074
