timestamp,x,y
0.035039,761,1306
0.103854,761,1306
0.167511,761,1306
0.236272,761,1306
0.299487,755,1303
0.367240,743,1295
0.431109,722,1281
0.496631,690,1256
0.562659,649,1219
0.696813,615,1171
0.763950,570,1133
0.829584,527,1071
0.893806,502,993
0.961598,487,911
1.025762,475,839
1.093677,472,772
1.161568,473,706
1.223324,488,644
1.290697,497,589
1.388801,500,535
1.454009,498,493
1.520584,500,452
1.585840,499,420
1.652345,514,356
1.718389,510,360
1.784677,528,393
1.850994,549,422
1.916808,558,367
1.982405,549,310
2.048758,551,266
2.115300,552,228
2.180702,557,178
2.246467,545,150
2.312784,544,126
2.378545,547,113
2.444980,539,104
2.511011,525,106
2.577631,517,115
2.643463,507,129
2.709350,505,145
2.775121,502,145
2.841147,492,143
2.907406,485,151
2.973546,483,161
3.039500,485,178
3.105847,488,195
3.171752,474,202
3.237749,481,208
3.303287,501,264
3.369936,521,314
3.435247,523,332
3.501716,526,351
3.567641,524,375
3.634291,522,392
3.699969,521,396
3.765818,527,399
3.831564,526,393
3.897785,528,389
3.964155,525,382
4.029490,520,387
4.096390,530,389
4.161804,534,382
4.227742,530,372
4.293728,530,380
4.359909,524,388
4.425916,531,386
4.492296,529,391
4.558022,535,389
4.655374,535,381
4.721918,535,382
4.787465,527,382
4.853127,513,388
4.919693,510,397
4.985764,510,392
5.052011,517,388
5.118184,527,372
5.183487,521,374
5.248817,517,377
5.316253,512,389
5.381848,507,386
5.448642,511,389
5.513548,502,376
5.579930,497,370
5.645939,499,379
5.712277,504,373
5.778127,512,384
5.843770,514,386
5.910407,521,390
5.976370,527,390
6.042916,528,385
6.107796,531,381
6.174809,524,379
6.240173,514,370
6.306402,513,370
6.372580,526,426
6.436567,535,476
6.503717,548,528
6.571035,556,554
6.636119,560,593
6.702090,576,616
6.768196,566,644
6.835123,574,670
6.901099,578,688
6.965518,586,695
7.033069,594,714
7.098818,596,713
7.164342,599,719
7.230539,591,726
7.294999,595,729
7.362738,607,725
7.428805,603,731
7.494694,594,735
7.560844,586,736
7.626510,589,737
7.693425,591,738
7.758514,596,738
7.824508,602,738
7.890634,609,739
7.988075,600,737
8.054515,603,725
8.120554,598,720
8.186176,604,714
8.252938,603,710
8.319067,602,702
8.385383,608,680
8.450555,609,677
8.517014,614,666
8.582301,607,664
8.649605,602,657
8.715152,599,653
8.781085,596,648
8.847294,586,654
8.913011,586,654
8.978485,579,665
