timestamp,x,y
0.035899,1138,795
0.131309,1138,795
0.196613,1138,794
0.262393,1138,794
0.327726,1138,794
0.393096,1138,793
0.458848,1137,796
0.525646,1138,795
0.592870,1137,792
0.656817,1111,761
0.723473,1086,732
0.789918,1051,701
0.855491,1011,641
0.922273,982,577
0.987864,961,531
1.053590,925,481
1.121214,896,404
1.185723,866,340
1.253467,860,300
1.318441,849,299
1.385508,822,262
1.451354,797,249
1.516147,791,242
1.583545,776,228
1.649305,762,202
1.715561,753,189
1.781544,753,150
1.847250,740,118
1.913313,773,63
1.979547,795,49
2.045538,804,9
2.111302,819,-13
2.177788,844,-7
2.243853,866,-18
2.309625,865,-27
2.376023,868,-31
2.441768,891,-29
2.508135,887,-35
2.572650,919,-6
2.639954,923,0
2.705712,934,38
2.772055,915,135
2.837848,903,211
2.903707,898,306
2.970145,909,400
3.036016,905,491
3.102037,899,558
3.168220,890,596
3.232243,900,617
3.298633,905,646
3.364663,896,659
3.431078,900,655
3.497713,910,663
3.562792,906,650
3.628345,902,656
3.694551,878,646
3.760583,866,639
3.826925,872,637
3.892814,865,620
3.958834,878,628
4.024961,867,602
4.090901,859,598
4.156907,874,592
4.223318,875,598
4.288940,868,603
4.355468,869,581
4.421496,872,588
4.487324,860,581
4.553193,856,579
4.619844,846,577
4.685494,824,554
4.751175,824,551
4.817527,827,549
4.883376,828,558
4.949598,830,548
5.015291,830,568
5.081008,815,561
5.148020,811,557
5.212473,828,554
5.279862,843,560
5.345356,859,571
5.411791,861,567
5.477295,871,558
5.543358,897,573
5.609699,871,551
5.675319,862,532
5.741483,855,526
5.807882,856,537
5.873942,891,549
5.939648,886,571
6.005420,894,542
6.071655,891,504
6.137852,892,475
6.203921,891,440
6.269789,896,400
6.335924,895,381
6.401738,912,388
6.499403,923,385
6.565986,931,379
6.631346,921,365
6.697706,903,371
6.763845,886,355
6.829710,870,353
6.895634,871,358
6.961543,879,353
7.027782,875,366
7.093734,871,366
7.159789,859,363
7.226110,863,362
7.291646,882,385
7.357531,890,401
7.423886,891,409
7.489622,886,394
7.555970,897,411
7.621767,896,409
7.688742,890,407
7.753905,891,396
7.820525,907,407
7.886419,913,514
7.952183,924,625
8.018156,919,700
8.084803,910,743
8.150302,894,814
8.216447,883,820
8.281949,891,837
8.348613,898,908
8.413870,897,924
8.479426,905,948
8.544826,897,956
8.612796,886,952
8.679017,906,961
8.744258,899,962
8.810508,898,939
8.876760,893,954
8.942322,911,994
9.008595,896,979
9.074341,885,984
9.140219,873,977
9.206670,886,963
9.272744,910,977
9.338856,900,961
9.404795,914,958
9.470819,906,951
9.536334,914,945
9.602464,907,932
9.668435,902,923
9.734917,905,909
9.832462,900,878
9.898609,897,855
9.964461,885,823
10.030319,890,819
10.096545,892,815
10.162524,886,807
10.229215,882,800
10.295332,874,798
10.361199,887,794
10.426015,933,829
10.492939,972,856
10.558972,1010,892
10.624754,1015,944
10.691102,995,937
10.757344,971,917
10.820961,965,881
10.888613,964,870
10.955039,943,865
11.021624,933,848
11.087435,939,825
11.153588,921,795
11.219767,898,782
11.285759,866,758
11.350855,851,759
11.418395,835,753
11.484109,834,760
11.550281,820,767
11.616451,813,790
11.682002,815,797
11.747919,817,821
11.814192,817,813
11.879959,829,813
11.945853,820,808
12.011996,808,786
12.077999,817,780
12.144129,818,804
12.209751,823,795
12.276357,842,799
12.342283,849,804
12.408353,853,829
12.472991,850,815
12.539946,835,801
12.605930,847,773
12.672069,868,747
12.738334,874,728
12.803722,887,717
12.869702,881,712
12.935457,861,694
13.001494,846,697
13.068132,865,702
13.132922,876,710
13.198627,860,704
13.264528,866,719
13.331221,876,728
13.397317,882,716
13.462746,870,740
13.529380,854,743
13.595464,846,729
13.661242,832,736
13.727059,840,729
13.793779,858,736
13.859072,855,720
13.925163,855,746
13.991463,847,745
14.057247,865,721
14.123191,854,725
14.189579,841,694
14.255875,825,703
14.321383,823,668
14.387773,826,628
14.452853,844,605
14.519127,864,599
14.585527,856,591
14.651613,870,560
14.717381,878,558
14.783893,867,534
14.849589,872,527
14.915561,871,521
14.981812,879,531
15.047325,884,524
15.113545,888,520
15.179795,910,528
15.246099,909,530
15.311496,900,515
15.377599,911,544
15.444202,924,547
15.509395,936,562
15.576450,927,555
15.641932,921,568
15.708019,904,555
15.773923,907,566
15.838991,924,588
15.906157,928,608
15.972578,925,594
16.037810,945,609
16.104501,954,617
16.169818,943,589
16.236004,928,561
16.301541,901,532
16.368175,890,497
16.465742,895,485
16.531337,906,470
16.598215,911,457
16.663462,903,435
16.730292,895,414
16.795720,895,393
16.861786,904,391
16.927983,906,412
16.993946,907,406
17.060016,906,402
17.125743,900,401
17.192317,878,387
17.258906,856,383
17.324219,852,389
17.390042,866,392
17.456205,876,404
17.522324,879,413
17.588971,876,424
17.654272,868,419
17.720177,869,424
17.786844,861,421
17.852365,874,422
17.918203,852,405
17.984858,849,394
18.050707,852,396
18.116585,839,392
18.182766,833,421
18.248789,830,444
18.315426,843,441
18.380817,860,413
18.447363,853,386
18.513015,858,358
18.579017,863,345
18.644891,841,300
18.711163,821,288
18.777048,821,270
18.842764,816,266
18.908817,810,254
18.975059,803,232
19.041025,796,228
19.107396,776,242
19.173134,789,237
19.238619,787,223
19.305525,783,213
19.370945,786,204
19.436553,797,206
19.502883,813,204
19.568983,818,195
19.634682,840,206
19.699706,838,206
19.765578,843,229
19.831482,847,217
19.897884,864,237
19.963324,877,234
20.030078,887,227
20.095809,895,249
20.162311,907,254
20.227704,910,252
20.294212,917,262
20.359855,926,266
20.426296,928,221
20.492093,909,206
20.558694,904,157
20.624490,888,140
20.689891,888,117
20.756560,868,110
20.822374,877,90
20.888620,877,97
20.954390,877,105
21.020805,884,115
21.086211,874,100
21.152451,870,123
21.218411,865,123
21.284415,869,129
21.350430,873,124
21.416805,853,120
21.482708,855,134
21.549112,835,117
21.615103,833,107
21.680904,845,122
21.746658,855,140
21.812659,852,148
21.879194,871,148
21.944858,872,139
22.010739,876,133
22.076446,884,135
22.142716,878,143
22.209002,884,152
22.275182,876,380
22.341053,867,563
22.407211,857,702
22.472753,857,806
22.539471,847,872
22.604914,833,929
22.671136,811,965
22.736519,812,1004
22.802443,799,1025
22.868832,826,1031
22.935573,816,1029
23.033391,805,1064
23.098832,810,1079
23.164659,846,1089
23.231067,924,1139
23.296916,978,1118
23.363244,1013,1119
23.428975,1052,1103
23.495050,1091,1094
23.561761,1125,1096
23.628009,1140,1088
23.692651,1126,1107
23.759135,1124,1106
23.824952,1080,1082
23.891729,1016,1072
23.956843,983,1046
24.023156,934,1027
24.088978,887,1001
24.155202,832,967
24.221125,790,933
24.288019,770,912
24.353700,775,917
24.419448,775,918
24.485268,776,907
24.551733,752,901
24.617305,745,898
24.683217,723,882
24.749506,718,864
24.815853,717,850
24.881788,710,860
24.947996,692,862
25.013291,685,854
25.080103,690,849
25.145873,689,846
25.211715,725,862
25.277614,743,876
25.343592,766,886
25.409850,786,885
25.476012,796,882
25.541893,816,895
25.607562,833,897
25.673752,856,911
25.740213,855,907
25.805617,863,924
25.872052,864,934
25.937729,851,912
26.003493,861,934
26.070029,857,944
26.135530,852,957
26.201907,855,960
26.299920,868,941
26.365640,875,909
26.431533,857,878
26.498567,879,881
26.563834,904,870
26.630003,908,842
26.696024,906,809
26.761761,906,801
26.828324,912,815
26.894108,944,831
26.960496,948,831
27.026073,936,836
27.091825,918,820
27.158102,941,823
27.223062,948,819
27.289985,966,825
27.355827,968,840
27.422957,953,823
27.488177,950,811
27.554743,931,796
27.620083,930,803
27.686031,938,802
27.752123,926,812
27.818316,897,795
27.884334,902,813
27.950492,930,823
28.016305,925,837
28.083451,917,853
28.148904,921,857
28.214555,920,858
28.280573,916,872
28.346460,907,874
28.412667,900,875
28.478400,899,855
28.544396,893,842
28.610729,903,803
28.676702,898,764
28.742656,879,730
28.874661,844,680
28.941258,850,673
29.006713,860,670
