timestamp,x,y
17.523255,617,-125
17.590605,601,-132
17.656035,609,-123
17.723150,598,-128
17.788240,595,-126
17.854311,596,-128
17.920772,592,-116
17.986798,576,-123
18.052749,577,-108
18.118763,565,-164
18.186098,561,-188
18.251091,566,-190
18.317734,554,-200
18.383513,556,-182
18.449265,546,-212
18.515750,556,-206
18.581362,553,-204
18.646576,560,-193
18.714050,571,-176
18.779055,583,-162
18.845351,600,-150
18.911522,619,-148
18.977435,609,-136
19.043686,595,-133
19.108797,583,-137
19.175821,573,-143
19.241123,572,-147
19.307904,557,-123
19.373238,556,-113
19.440102,570,-114
19.506280,563,-100
19.571330,566,-90
19.638353,550,-78
19.702535,551,-62
19.800813,547,-71
19.867148,547,-73
19.933048,500,-40
19.999111,463,5
20.065216,411,31
20.131783,372,69
20.197242,348,94
20.264000,387,120
20.329320,417,136
20.395280,452,174
20.461002,388,150
20.527312,360,156
20.592562,328,161
20.658450,304,143
20.724966,380,139
20.791939,435,130
20.857498,490,139
20.923417,535,132
20.989836,567,140
21.055648,592,134
21.122258,609,114
21.187893,627,102
21.254299,637,76
21.319487,647,60
21.385981,647,71
21.450817,653,86
21.516174,643,103
21.583969,643,94
21.650156,649,97
21.716742,653,88
21.782399,645,83
21.848814,636,75
21.914356,643,65
21.980396,640,55
22.047049,644,36
22.110217,644,43
22.177965,635,56
22.243987,643,50
22.310052,637,65
22.375787,644,53
22.442100,650,74
22.508270,635,172
22.574279,622,255
22.639965,598,318
22.704664,594,354
22.773256,590,366
22.837948,578,385
22.903948,577,390
22.970701,568,395
23.036213,552,419
23.101467,567,428
23.167050,580,451
23.233119,590,451
23.299326,593,458
23.365058,601,453
23.431671,594,447
23.497784,584,434
23.563781,591,383
23.629759,604,347
23.695579,607,272
23.761422,632,207
23.827505,642,179
23.893208,655,144
23.959271,670,110
24.026083,673,74
24.091284,671,57
24.157805,678,44
24.223555,676,42
24.289757,669,51
24.356103,677,6
24.422131,621,-54
24.487531,614,-61
24.553334,624,-73
24.620108,638,-60
24.685657,651,-45
24.751465,668,-28
24.818544,670,-15
24.883784,671,10
24.951185,638,33
25.016208,611,50
25.081990,600,61
25.148402,577,52
25.214098,572,61
25.280757,551,69
25.346588,547,72
25.411071,603,21
25.478227,651,-18
25.544080,694,-58
25.609768,706,-42
25.677007,731,-22
25.742451,742,-4
25.807976,750,18
25.874856,744,53
25.940319,737,75
26.006666,730,113
26.072624,708,120
26.138330,692,134
26.204561,685,143
26.270565,671,161
26.336867,664,170
26.401127,663,188
26.466900,647,193
26.532633,647,205
26.597563,654,204
26.665050,649,201
26.730560,649,146
26.796980,667,68
26.863639,681,2
26.928991,690,-53
26.994897,689,-129
27.061127,711,-191
27.127057,721,-237
27.192787,729,-277
27.258949,745,-309
27.325352,763,-338
27.391819,770,-371
27.457502,768,-395
27.523769,789,-388
27.589420,791,-396
27.655844,812,-391
27.721261,815,-397
27.787310,806,-397
27.853678,810,-397
27.920197,802,-411
27.986466,830,-426
28.051921,852,-427
28.117719,858,-434
28.184220,882,-434
28.250439,886,-439
28.316054,895,-433
28.382589,883,-429
28.445667,886,-408
28.514626,881,-406
28.580873,881,-419
28.646286,875,-423
28.712319,883,-409
28.777806,889,-399
28.844580,894,-402
28.910534,894,-416
28.976044,902,-419
29.042115,900,-417
29.108247,877,-408
29.173711,866,-401
29.240197,866,-397
29.305906,856,-390
29.371699,857,-375
29.437865,753,-209
29.504509,699,-45
29.570388,652,86
29.636243,606,267
29.702503,571,391
29.767435,556,503
29.833535,540,596
29.898901,542,664
29.965438,536,727
30.031003,574,782
30.096927,581,850
30.162674,598,897
30.229044,599,931
30.295600,592,963
30.361175,570,970
30.427196,554,972
30.493344,545,956
30.559155,564,938
30.624996,550,931
30.757877,530,952
30.823711,523,943
30.890338,531,952
30.955685,532,923
31.021364,527,892
31.087213,523,857
31.154292,525,818
31.220601,536,795
31.285951,612,714
31.352636,675,632
31.417791,697,557
31.484739,777,322
31.548342,846,59
31.615195,883,-147
31.682026,905,-320
31.748594,927,-472
31.814604,940,-605
31.878711,935,-739
31.946471,915,-829
32.012741,903,-917
32.078333,902,-994
32.144852,856,-1069
32.208320,798,-1115
32.274610,740,-1179
32.342378,725,-1187
32.408736,693,-1217
32.474731,665,-1225
32.540290,639,-1221
32.605572,618,-1213
32.671974,613,-1212
32.738087,605,-1218
32.805064,598,-1214
32.869985,599,-1207
32.936547,617,-1164
33.002497,611,-1152
33.067007,620,-1118
33.132838,618,-1098
33.198809,631,-1074
33.265447,636,-1046
33.331019,647,-1032
33.396714,655,-1022
33.463312,657,-1012
33.529071,664,-998
33.596291,657,-1000
33.661182,652,-978
