timestamp,x,y
7.627579,913,805
7.693615,912,804
7.760272,913,805
7.827047,918,814
7.893646,921,816
7.959857,919,818
8.026943,904,807
8.160848,900,802
8.223948,893,842
8.293937,894,841
8.359593,891,844
8.427285,889,839
8.493718,886,832
8.558083,879,824
8.626220,881,819
8.693287,887,811
8.759479,888,805
8.826221,887,799
8.893012,885,795
8.960458,886,792
9.026802,883,787
9.090028,884,785
9.159381,884,786
9.226272,887,783
9.292636,883,781
9.359216,879,771
9.427087,869,770
9.492951,863,766
9.559117,864,765
9.625599,865,765
9.692529,864,765
9.759186,862,772
9.825824,858,781
9.892915,857,783
9.958988,853,783
10.026145,855,789
10.093107,852,790
10.158952,842,687
10.226265,827,599
10.291922,812,521
10.359288,799,452
10.425565,786,404
10.492705,784,335
10.560227,780,272
10.625752,777,221
10.693475,779,181
10.759861,783,163
10.826346,782,148
10.890156,777,139
10.959350,773,135
11.025132,772,129
11.093104,773,135
11.158917,776,143
11.225238,770,154
11.292194,763,162
11.358823,770,173
11.426471,777,182
11.493067,785,187
11.558354,790,196
11.622198,797,214
11.692271,808,219
11.758194,818,220
11.826146,827,230
11.891753,827,225
11.958488,832,233
12.025367,831,248
12.090929,831,251
12.158290,833,255
12.225427,835,262
12.291429,836,261
12.359007,836,263
12.425378,837,264
12.492178,835,271
12.557965,838,278
12.624995,837,275
12.691482,847,351
12.758556,841,534
12.824910,850,667
12.892914,855,769
12.957233,865,853
13.025062,866,922
13.091357,869,962
13.158959,866,996
13.224270,864,1009
13.291044,865,1026
13.357414,868,1032
13.424917,868,1031
13.490632,871,1009
13.555820,872,988
13.624043,880,965
13.690789,885,941
13.757386,882,921
13.824598,879,889
13.891340,871,872
13.957700,869,851
14.024520,869,830
14.090016,865,813
14.156928,867,800
14.224884,869,785
14.290715,875,782
14.357876,876,777
14.424082,880,775
14.490722,882,765
14.556987,883,754
14.623192,880,750
14.691207,874,749
14.757234,874,794
14.823805,877,825
14.890610,881,861
14.957273,885,894
15.023213,885,922
15.090401,888,938
15.157304,878,947
15.223815,875,954
15.290378,876,958
15.357631,874,961
15.422369,877,955
15.488095,877,958
15.556341,874,961
15.623783,873,966
15.690405,876,958
15.756065,875,961
15.823464,877,953
15.890571,874,960
15.957074,874,966
16.023306,869,960
16.089049,865,961
16.156141,859,954
16.222878,838,939
16.288622,837,915
16.356340,838,888
16.422825,829,875
16.489583,832,848
16.556566,833,825
16.622628,825,804
16.690084,821,789
16.756763,812,799
16.823119,812,816
16.890310,803,822
16.953720,823,841
17.021661,837,845
17.087689,830,849
17.154072,832,851
17.220441,847,852
17.286953,858,854
17.353194,864,842
17.420462,868,831
17.487755,864,830
17.554001,867,844
17.620760,876,868
17.686714,878,888
